USA,2011,Solar,36501.433672648076,4112.545099402631,9984612354.95044,1270219327,131194181151201.08,874343.2817057484,26024.548724863267,78267.0354662874,255348.6481518176,688073,0,7197503268.9906845,1,14.650301647661731,2260.521156922411,209.4837726197235,8.066478817257954,39.94348751440443,86.30116047302538,9.027631382803358,624.8916128286656,0.4563626217340566,0.4708246502011402,255569958.94481912,280318902.15385514,5.920304959070133,1,6.807479358530988,50.047933832068956,0,293,3.934320134494189,1,1,53.99613500167463,26.604353447504593,49.485846963433325,0,4.123073220583782,4.611999071838416,3.6681159953048037,3.6837945006158215,4.131379940937875,0.8169107055540081,61.67181331147225,61.50042738243804,597,96,9694,445625,90.59935062339973,1,0
Australia,2008,Geothermal,86965.28474012439,25312.398073748023,5324035676.796869,101227694,16348601441208.975,511380.3496741697,66430.78766965949,10106.188791364968,212363.7978478904,974171,1,7299930394.959419,0,21.960126908016452,1481.6670783831066,193.04845724520968,14.67974436407823,42.27597915566976,23.61246048290415,60.72350473919613,670.2874351951211,0.9969967333411321,0.4178204291656176,817784863.1035926,135086580.51948303,6.354185930940367,0,85.3420643655514,72.57808239771951,1,716,6.404258691048273,1,1,12.041853740669406,24.329543089495644,24.791788950614546,1,5.061134414473179,1.9221151581111107,6.212485817090453,2.9931112104405413,3.432777527771367,35.033563442624114,34.384809099954275,5.179896034905562,301,66,104,290674,55.45616124700832,0,0
Canada,2013,Biomass,94102.73203761142,6139.117212313818,6158679593.928604,14895124,156792558512690.16,342707.15289942647,65146.59249759289,41114.87218757063,43695.24019105409,588423,1,8568534293.077163,1,13.501933803025075,357.5170577835906,159.99644232970917,3.4732095905884304,84.02229222074152,6.6116578199474585,54.59594824101669,30.986430599220338,0.2052871561623888,0.15754118070384,257833727.4193508,873341258.962022,5.823927438214282,1,31.91376220053337,10.507144700624604,0,215,3.632895434398379,1,1,30.238886128483934,91.86134295105894,56.29839321079642,0,4.904172440667231,2.022067680495563,1.2654538538236204,0.4214322023979955,8.898477624901314,94.37404019657234,77.65733388899115,67.33481311661463,101,7,311,326318,67.35453937347727,1,0
Japan,2010,Biomass,61168.012574775465,32960.87278381065,2775540388.4754376,703715752,3520405447850.069,629657.0235803678,9833.504040284482,65753.36951910614,261092.75183209675,462902,1,8237703465.918161,0,28.336634213236977,2770.7439116693563,229.12228998766312,1.496493941396781,89.01111264700793,71.60973467773233,76.45353651185913,868.0334930319309,0.35025391665316097,0.2977252647347922,121922942.86626068,261471170.84938717,5.776655797968213,0,83.74646713991581,44.24756136734551,0,688,3.0231643091943337,1,1,58.0430684397222,51.06687041984094,47.352168688480575,1,9.515972540245334,4.114816905762454,5.02597736125736,2.1657987451336203,0.018866417691172366,35.117737191613195,44.11787892340537,53.43430525742192,23,19,7082,823021,34.669783000504275,0,1
China,2018,Solar,12008.9986357745,46761.24701787312,1518153986.1574996,1070850175,116221292260782.36,962880.3999760329,96226.82594815343,52649.83423160122,45279.464350622824,91366,0,8087915474.897241,0,37.02919424006956,568.0422991310191,206.52189002315365,2.318061380949578,14.471173451610186,8.444622555062153,65.28514784852511,421.68935000026715,0.28537605938958155,0.23653701821616363,249704467.6356906,333344495.4973209,3.481286672077669,0,55.878320715502596,31.977862511389944,1,491,8.852168655134134,1,0,22.743992257223276,91.63950840539727,78.06020036680732,1,2.80045110900108,9.895941647851247,0.8645140968143417,1.1798771186717283,3.2775339189217467,1.5408474151704765,5.8912219816236515,74.2754018396168,176,32,8651,777586,63.07713174347768,1,1
India,2014,Wind,6500.199429663785,29389.62520175209,8155535053.852232,227758228,168776416784530.7,801477.8852694732,61824.9258217539,83245.26575771178,98959.12137366208,133474,1,2171331007.119632,0,11.091914981510705,1935.4758341942024,103.01955400588187,10.500306314718703,23.576833460577962,13.942837679388976,77.27851532942829,210.4303250245208,0.8319051358492289,0.4378530300300176,724057217.8055384,716275449.918805,0.03744399005035648,0,52.25571581730512,30.266397758843556,0,516,1.2368896299113152,1,1,46.607446148028075,12.474033187238787,11.215457916215609,0,4.489286296215113,8.350555264211767,1.4547045761011468,9.86050386173739,8.321005213051404,36.39562593532671,27.565348716039693,63.888954496833335,521,46,8724,456017,1.768582783716044,1,1
Germany,2014,Wind,76600.80728529624,29593.185730802434,6135244450.102783,931644677,18663453789178.97,63869.05830784142,6029.951518483664,84502.77516841424,926876.380104012,35494,1,9969034897.638374,1,12.414085136708557,804.4139821150815,226.12417766072878,5.102583525061114,37.4635253501168,62.041165057080626,3.6293408121360837,678.0110688526221,0.4543312436461817,0.2545168573069873,510018180.1151146,370016132.49273986,1.8882612505403562,1,77.14111495442693,50.01474957573937,0,620,3.99421308280444,0,1,70.12819498443655,25.891360279884612,52.55136118812873,1,8.753470392951026,9.333815132554681,8.845999157397925,3.495030633790469,5.092816449063777,22.682523451720172,46.33429816962498,35.2820013491189,107,57,306,851853,51.391488662388554,1,0
Germany,2016,Biomass,94741.1261270531,30970.151593099832,3001489488.154899,760775365,107793631775414.4,787537.0613184985,88941.60898100644,54478.16629249209,725017.5178161579,886542,0,2688821734.0591736,1,-8.058437156205075,2195.4868040456454,211.9635901018347,4.877904422420231,25.622357455183288,33.21818414721539,22.90137349019039,333.70367410494316,0.7507545308662855,0.4010640523893531,619690127.1097838,409865351.1810382,6.7800476207929625,0,43.71954119881559,82.33035275152186,0,655,0.6585220666430125,1,0,56.22617039104569,1.826036798317987,17.44734124693933,1,4.2009261769536534,8.590401749456388,3.3633254026122064,7.695224761811604,5.236355338070799,65.38854025542513,69.15304521519585,20.278091891011684,781,57,8350,507957,97.18181751282864,1,1
Japan,2015,Biomass,70560.47106191165,37648.718972201,9095394363.10571,104974272,60886171438019.75,121449.8361133625,61009.674374564616,26814.90515271502,833178.3576114378,339831,0,9601446561.060442,0,13.804864454614044,2196.322423545261,299.82723887233135,1.3891258601652567,51.898509298775394,29.651324204239714,26.055647278371154,386.54032635203924,0.33981261926852113,0.49828213494989315,829625319.6655064,996826420.4272629,9.854449092108172,0,34.62481202556709,15.769220572247999,1,12,3.8923250480747082,1,0,32.40605764878005,70.35486295590952,91.67484417047545,1,8.977770499218918,6.553234252893903,7.905286869879627,6.806181252823125,3.2458264900301073,69.94138569706281,23.78018321031108,71.28660919059104,995,34,1287,707187,59.37523078167723,1,0
Canada,2002,Wind,57780.09974625366,22408.24192185452,2810623523.563448,1304327983,79793351601566.97,364330.10399251187,32170.718271365484,54550.202691865496,146833.07510254695,938728,0,7050800475.41,1,0.9017034932526453,779.8273183498684,252.4078562481645,1.0117946438750869,95.3437421384052,56.85597311796844,15.136972232041723,966.1894263262287,0.6153864008561073,0.29630119078442335,134868198.93072194,533067156.3782727,3.0230987399728204,0,4.178583003122571,49.994498391492435,0,350,2.4318670346629814,1,1,42.27695178525666,29.690365299210686,34.37316718831633,0,9.732791647459553,3.3909334962435453,2.1833761228105075,9.217718110770058,5.898518637707219,76.10949439420752,4.616307349485482,52.150741921166585,775,51,2919,573988,55.01812274579593,1,0
